Dia,Mes,Hora,Minuto,Segundo,Frase
6,6,22,51,45,Uma cama arrumada e um roupão de banho
6,6,22,51,34,Poster na parede e bagunça
6,6,22,51,34,Liberdade de fazer bagunça
6,6,6,6,6,Experimentações psicológicas
6,6,6,6,6,me permitir fazer todas as atividades da minha rotina pessoal, dormir, acordar, tomar banho, comer, descansar, receber
6,6,6,6,6,Acho que uma casa vira um lar quando ela passa a contar a história das pessoas que à habitam
6,6,6,6,6,Quando ela deixa de ser um show room
6,6,6,6,6,O que faz de uma casa um lar é o aconchego que ele traz, a vontade de voltar para lá
6,6,6,6,6,O que faz de uma casa um lar é quando ela mostra a alma de seus habitantes, quando reflete a historia e a vida de seus moradores
6,6,6,6,6,A geladeira cheia de comida
6,6,6,6,6,Sua historia, suas memorias
6,6,6,6,6,Seu aconchego, e a segurança que ela te traz
6,6,6,6,6,O cheiro do sabonete de glicerina de manhã enquanto minha namorada toma banho, o cheiro da minha roupa quentinha quando saio do banho, o cheiro do pãozinho assando, do cafezinho saindo, o cheirinho do chá perfumando a casa, o cheirinho do meu cãozinho quando chego em casa,  comida na hora do jantar.
6,6,6,6,6,O cheiro enche o lar de vida...
6,6,6,6,6,O silêncio
6,6,6,6,6,A bagunça das minhas coisas
6,6,6,6,6,Ter uma boa compania
18,6,8,44,25,SALA BANHEIRO E CAMA
18,6,8,44,35,"TESTANDO CACASM ., ! ? O QUE DIFICIL! TIVER SOFRENDO!"
18,6,8,46,44,MEU TRAVESSEIRO
18,6,8,47,36,OI ACENTO MALDITO! ￃﾉ DIFICIL! MANTERMOS-NOS AQUI! ACAO! A DOIS!
18,6,8,49,9,LOOPING E LOOPING
18,6,8,50,16,ￃﾉ DIFICIL ACREDITAR DO VC! ACAO! MALDITO!
18,6,8,58,37,EEE FESTA
18,6,10,31,42,ACABOU? MOSTRA BLACK!
18,6,10,33,14,ELEGANCIA
18,6,10,35,54,PAREDES ALTAS
18,6,10,41,43,"SHOW DE BOLA,ESTA MOSTRA..E ESTE SISTEMA ￃﾩ COOL"
18,6,10,45,17,BANHEIRO BANHEIRO BANHEIRO
18,6,10,46,40,MOSTRA BLACK!
18,6,11,8,52,O SEXO
18,6,11,9,25,DORMIR DE CONCHINHA
18,6,11,9,31,SEXO
18,6,11,12,13,OI GUTO!
18,6,11,13,35,SEXO NA CAMA!
18,6,11,14,12,AMOR PRA SEMPRE
18,6,11,30,38,MOSTRA BLACK INTERATIVA!
18,6,11,58,27,CHINELO E PIJAMA
18,6,11,59,52,SESSAO CINEMA ENTRE AMIGOS
18,6,12,3,45,"PIPOCA, COBERTOR, AMOR, BANHO QUENTE"
18,6,12,4,40,AMOR
18,6,12,4,57,FILHOS
19,6,16,39,8,MOSTRA BLACK!
19,6,16,41,34,ARRASOU!
19,6,16,42,3,VIDA
19,6,16,58,58,ARRASOU!
19,6,17,0,22,FAMILIA!
19,6,17,2,14,AMOR
19,6,17,11,22,VIDA
19,6,17,13,3,AMOR!
19,6,17,21,21,VIDA
19,6,17,21,51,MINHA FAMILIA
19,6,18,15,47,GUTO REQUENA!
19,6,18,16,30,MEU CACHORRO HABIB FAZ DE  CHEZ #CASABLACK
19,6,18,36,34,"ￃﾉ UM LUGAR PARA RECEBER OS AMIGOS, RISADAS, COZINHAR JUNTO. ONDE GUARDAMOS NOSSOS AMORES..."
19,6,18,38,44,"MOMENTOS, PESSOAS, DESEJOS E DETALHES!!!"
19,6,18,39,19,"LEMBRANCAS, RECORDACOES, CARINHO. MEMORIAS COMPARTILHADAS COM PESSOAS QUERIDAS."
19,6,18,41,19,"RECONHECER NESSE ESPAￃﾧO, SUA HISTￃﾳRIA E SUA IDENTIDADE, SEU REFￃﾺGIO"
19,6,18,45,49,VIDA
19,6,18,45,55,"A MESMA  COISA QUE NOS DEFINE, A MENTE."
19,6,18,46,2,MINHA FAMILIA
19,6,18,46,13,AMOR
19,6,18,46,31,A ALMA DAS PESSOAS
19,6,18,46,46,CONTENTE
19,6,18,46,50,MEU CACHORRO
19,6,18,46,57,AMOR
19,6,18,47,3,AMOR
19,6,18,47,31,AMOR
19,6,18,47,48,CONTENTE
19,6,18,47,52,AMOR
19,6,18,48,0,CONTENTE
19,6,18,48,15,CONTENTE
19,6,18,48,53,CONTENTE COM MEUS CACHORROS UIVANDO
19,6,18,49,37,RINDO NA VARANDA COM MEUS AMIGOS DO PEITO
19,6,18,50,25,TOMANDO VINDO NA VARANDA ASSISTINDO O DIA SE POR
19,6,18,50,44,O ACONCHEGO
